feature,cls,reg,combined,tweedie
rolling_mean_4w,68.10072014389216,51.31837276702974,28.985823464963115,1.6185699498377653
temp_anomaly,0.045236372635040906,0.3354125045069844,24.693300551750816,49.13824143855623
store_avg_weekly,0.4144776857788645,0.34771294088462973,17.81893099631483,35.27011962827676
rolling_max_4w,1.4042151540400707,13.625232118200934,5.02726901826406,0.09561100757544612
lag_1w,3.379299515505116,7.593179102576654,3.229769584137385,0.1305239418195777
weeks_since_nonzero,19.23233705626129,0.05619909708552878,2.914745419279777,0.02045035372129759
rolling_median_4w,0.7934617149957536,7.638709031679528,2.79430319219707,0.0034715477197454414
week,1.3325129114070255,5.6574885573791756,2.179997931793765,0.0
rolling_return_rate_4w,0.6844611470022028,0.4383064931744117,1.9789522972655447,3.44575170520834
category_season_avg,0.01236200390920313,0.36021034347486186,0.8101906359869523,1.3645254303687404
rolling_mean_12w,0.5121753231657987,2.063524968354023,0.7990600373987777,0.0
bad_weather,0.0,0.004563301320355407,0.7956951333089626,1.5881959556936764
week_sin,0.04862948294549919,0.26052151850581373,0.7824489537161352,1.367943999594551
lag_2w,0.2708176806041142,1.7760051535109542,0.6634623504410427,0.0024757892431835206
is_snowy_week,0.0,0.0036390628350330156,0.5938514700303416,1.18515559607616
censored_ratio_4w,0.07454626478905885,1.6046813711994328,0.5728204196381602,0.0
n_holidays,0.0003192767037140846,0.18418107202601858,0.5637383179724285,0.9984541025155296
demand_cv_4w,0.3730392001252535,0.36760303277668355,0.553843179116301,0.7384524752513474
store_std_weekly,0.1955513726653238,1.3302165498311735,0.5018330531396841,0.013849109597949553
store_product_share,0.5768713732540027,1.1572176943913866,0.4915568990250857,0.0
trend_4w,0.35389752254867096,1.0475193196387873,0.4197163902558762,0.0
temp_mean_lag1w,0.16658876270338496,0.09506238178635909,0.401041647167021,0.6855629982725752
wind_max,0.027426605689401664,0.18109075693543641,0.3999906178376693,0.6649897241137126
active_ratio_8w,0.8416758705975578,0.4791598569391955,0.29395733051835204,0.0
yoy_same_week,0.5706199695635218,0.26801580947092457,0.2600731947433784,0.16134933198805318
rolling_std_4w,0.006004043016996673,0.3825289714620029,0.18382790676290114,0.09808432059730131
month,0.01487762449399628,0.28256440924059967,0.1833174070621614,0.16437644030770415
temp_mean,0.09061139698908208,0.2392897278673669,0.16932964279676352,0.1439730569896456
is_high_impact_holiday,0.0,0.0,0.11492042234244279,0.22984084468488558
nonzero_mean_4w,0.010450530609604484,0.2649617082727879,0.09711485077985323,0.005621346585873563
recent_zero_count,0.203546668294989,0.029637892450491417,0.093511721245576,0.10521291728731132
precip_total,0.02149559240464551,0.1510458099282435,0.07634159258649223,0.040502440501820336
season_winter,0.0,0.0,0.07501144215530023,0.15002288431060046
namn_te,0.07506338037932404,0.10147526735068073,0.07192863172314784,0.05030556218702196
is_swedish_vacation,0.0,0.0,0.06625912280762238,0.13251824561524475
product_n_stores,0.03264923112848952,0.13067175874273965,0.0628980151576349,0.024531029856805216
precip_total_lag1w,0.023098156122422865,0.09346637011237748,0.05998223884662031,0.04760857177784952
is_post_holiday_week,0.0,0.0,0.0566963641180117,0.1133927282360234
is_pre_holiday_week,0.0,0.0,0.05241202483277498,0.10482404966554996
product_avg_weekly,0.03505271540792245,0.04113797171220074,0.021360859779113568,0.003409324737309888
season_summer,0.0,0.0,0.017783960568668114,0.03556792113733623
typ_te,0.01066188566365178,0.04423570062128165,0.017444817692104465,0.0007260792502162503
is_back_to_school,0.0,0.0035750741116448484,0.015558753308684708,0.02861495473921802
week_cos,0.016760107275824655,0.025372868138290275,0.011394519939775293,0.0
is_rainy_week,0.0004368258348933888,0.005658391281532985,0.0079377542539328,0.011783586860324496
product_id_te,0.04656718781218568,0.0017755495712688093,0.007606520521771935,0.0
season_autumn,0.0014822437839503422,0.001814579505589784,0.004391582570134216,0.007068286351170481
is_summer,0.0,0.0,0.0031080880918663415,0.006216176183732683
season_spring,0.0,0.006963144116870191,0.00285927742702394,0.0008443539722387468
is_holiday_week,0.0,0.0,0.0006303963670894465,0.001260792734178893
is_december,0.0,0.0,0.0,0.0
