namn,weekday,weeks_with_delivery,total_weeks,frequency,is_delivery_day,demand_sum,demand_ratio
ICA kvantum Danderyd,Sunday,1,2,0.5,True,124,0.3924050632911392
ICA kvantum Danderyd,Tuesday,1,2,0.5,True,90,0.2848101265822785
ICA kvantum Danderyd,Thursday,1,2,0.5,True,102,0.3227848101265823
ICA kvantum Lidingö,Sunday,1,2,0.5,True,62,0.4492753623188406
ICA kvantum Lidingö,Tuesday,1,2,0.5,True,44,0.3188405797101449
ICA kvantum Lidingö,Thursday,1,2,0.5,True,32,0.2318840579710145
ICA kvantum Viksjö,Monday,1,2,0.5,True,110,0.36423841059602646
ICA kvantum Viksjö,Wednesday,1,2,0.5,True,88,0.2913907284768212
ICA kvantum Viksjö,Friday,2,2,1.0,True,104,0.3443708609271523
ICA kvantum åkermyntan,Monday,1,1,1.0,True,31,0.44285714285714284
ICA kvantum åkermyntan,Wednesday,1,1,1.0,True,39,0.5571428571428572
ICA lappkärrsberget,Sunday,1,2,0.5,True,55,0.5045871559633027
ICA lappkärrsberget,Thursday,1,2,0.5,True,54,0.4954128440366973
ICA maxi Häggvik,Sunday,1,2,0.5,True,200,0.390625
ICA maxi Häggvik,Tuesday,1,2,0.5,True,98,0.19140625
ICA maxi Häggvik,Thursday,1,2,0.5,True,214,0.41796875
ICA nära Per-Erics livs,Sunday,1,2,0.5,True,26,0.2857142857142857
ICA nära Per-Erics livs,Tuesday,1,2,0.5,True,41,0.45054945054945056
ICA nära Per-Erics livs,Thursday,1,2,0.5,True,24,0.26373626373626374
ICA nära Vårby gård,Sunday,1,2,0.5,True,49,0.3684210526315789
ICA nära Vårby gård,Tuesday,1,2,0.5,True,43,0.3233082706766917
ICA nära Vårby gård,Thursday,1,2,0.5,True,41,0.3082706766917293
ICA supermarket Heby,Sunday,1,2,0.5,True,112,0.4014336917562724
ICA supermarket Heby,Tuesday,1,2,0.5,True,105,0.3763440860215054
ICA supermarket Heby,Thursday,1,2,0.5,True,62,0.2222222222222222
ICA supermarket Nykvarn,Sunday,1,2,0.5,True,96,0.5647058823529412
ICA supermarket Nykvarn,Tuesday,1,2,0.5,True,43,0.2529411764705882
ICA supermarket Nykvarn,Thursday,1,2,0.5,True,31,0.18235294117647058
ICA supermarket Salem,Sunday,1,2,0.5,True,93,0.4386792452830189
ICA supermarket Salem,Tuesday,1,2,0.5,True,58,0.27358490566037735
ICA supermarket Salem,Thursday,1,2,0.5,True,61,0.28773584905660377
ICA supermarket bagarmossen,Sunday,1,2,0.5,True,56,0.40875912408759124
ICA supermarket bagarmossen,Tuesday,1,2,0.5,True,45,0.3284671532846715
ICA supermarket bagarmossen,Thursday,1,2,0.5,True,36,0.26277372262773724
ICA supermarket trollbäcken,Monday,1,2,0.5,True,63,0.4701492537313433
ICA supermarket trollbäcken,Wednesday,1,2,0.5,True,31,0.23134328358208955
ICA supermarket trollbäcken,Friday,2,2,1.0,True,40,0.29850746268656714
ICA Örbyhus,Sunday,1,2,0.5,True,54,0.2488479262672811
ICA Örbyhus,Tuesday,1,2,0.5,True,85,0.391705069124424
ICA Örbyhus,Thursday,1,2,0.5,True,78,0.35944700460829493
Lilla Coop Kungsängen,Sunday,1,2,0.5,True,101,0.38846153846153847
Lilla Coop Kungsängen,Tuesday,1,2,0.5,True,61,0.23461538461538461
Lilla Coop Kungsängen,Thursday,1,2,0.5,True,98,0.3769230769230769
My way Sävja,Sunday,1,1,1.0,True,37,1.0
Myway Danderyd,Sunday,1,1,1.0,True,69,1.0
Myway Råbyvägen,Sunday,1,1,1.0,True,24,1.0
Myway Södra Station,Sunday,1,2,0.5,True,63,0.4315068493150685
Myway Södra Station,Tuesday,1,2,0.5,True,30,0.2054794520547945
Myway Södra Station,Thursday,1,2,0.5,True,53,0.363013698630137
Myway Torget,Sunday,1,1,1.0,True,18,1.0
Nelins,Sunday,1,2,0.5,True,71,0.3736842105263158
Nelins,Tuesday,1,2,0.5,True,48,0.25263157894736843
Nelins,Thursday,1,2,0.5,True,71,0.3736842105263158
Prisma Skärholmen,Tuesday,1,1,1.0,True,29,1.0
Quickstar SOLNA,Sunday,1,2,0.5,True,36,0.5454545454545454
Quickstar SOLNA,Tuesday,1,2,0.5,True,30,0.45454545454545453
Stora Coop Enköping,Sunday,1,2,0.5,True,179,0.3816631130063966
Stora Coop Enköping,Tuesday,1,2,0.5,True,132,0.2814498933901919
Stora Coop Enköping,Thursday,1,2,0.5,True,158,0.3368869936034115
Stora Coop Spånga,Sunday,1,2,0.5,True,69,0.4107142857142857
Stora Coop Spånga,Tuesday,1,2,0.5,True,43,0.25595238095238093
Stora Coop Spånga,Thursday,1,2,0.5,True,56,0.3333333333333333
Stora Coop Vinsta,Monday,1,2,0.5,True,77,0.5539568345323741
Stora Coop Vinsta,Wednesday,1,2,0.5,True,62,0.4460431654676259
Stora Coop hanninge,Monday,1,2,0.5,True,56,0.717948717948718
Stora Coop hanninge,Wednesday,1,2,0.5,True,22,0.28205128205128205
Supergrossen Hallunda,Sunday,1,2,0.5,True,34,0.39080459770114945
Supergrossen Hallunda,Tuesday,1,2,0.5,True,53,0.6091954022988506
Tempo Brynäs,Sunday,1,2,0.5,True,60,0.48
Tempo Brynäs,Tuesday,1,2,0.5,True,35,0.28
Tempo Brynäs,Thursday,1,2,0.5,True,30,0.24
Tempo Fjärdhundra,Sunday,1,2,0.5,True,39,0.7358490566037735
Tempo Fjärdhundra,Tuesday,1,2,0.5,True,14,0.2641509433962264
Tempo Gävle Sohlbergs,Sunday,1,2,0.5,True,27,0.6136363636363636
Tempo Gävle Sohlbergs,Tuesday,1,2,0.5,True,17,0.38636363636363635
Tempo NESMA,Sunday,1,2,0.5,True,48,0.4752475247524752
Tempo NESMA,Thursday,1,2,0.5,True,53,0.5247524752475248
Tempo finntorp,Sunday,1,1,1.0,True,97,1.0
The Coffice KTH,Sunday,1,2,0.5,True,39,0.34210526315789475
The Coffice KTH,Tuesday,1,2,0.5,True,48,0.42105263157894735
The Coffice KTH,Thursday,1,2,0.5,True,27,0.23684210526315788
Vivo ellbe,Sunday,1,2,0.5,True,108,0.6067415730337079
Vivo ellbe,Tuesday,1,2,0.5,True,32,0.1797752808988764
Vivo ellbe,Thursday,1,2,0.5,True,38,0.21348314606741572
X-tra Stengatan,Sunday,1,2,0.5,True,35,0.3465346534653465
X-tra Stengatan,Tuesday,1,2,0.5,True,32,0.31683168316831684
X-tra Stengatan,Thursday,1,2,0.5,True,34,0.33663366336633666
X-tra viksäng,Sunday,1,2,0.5,True,41,0.6119402985074627
X-tra viksäng,Thursday,1,2,0.5,True,26,0.3880597014925373
Xtra Surahammar,Sunday,1,2,0.5,True,37,0.6271186440677966
Xtra Surahammar,Thursday,1,2,0.5,True,22,0.3728813559322034
