namn,weekday,weeks_with_delivery,total_weeks,frequency,is_delivery_day,demand_sum,demand_ratio
Coop Krysset,Tuesday,1,2,0.5,True,34,0.44155844155844154
Coop Krysset,Thursday,1,2,0.5,True,10,0.12987012987012986
Coop Kungsängen,Sunday,1,2,0.5,True,103,0.37050359712230213
Coop Kungsängen,Tuesday,1,2,0.5,True,75,0.2697841726618705
Coop Kungsängen,Thursday,1,2,0.5,True,100,0.3597122302158273
Coop Luthagen,Sunday,1,2,0.5,True,32,0.19047619047619047
Coop Luthagen,Tuesday,1,2,0.5,True,69,0.4107142857142857
Coop Luthagen,Thursday,1,2,0.5,True,67,0.39880952380952384
Coop Matboden,Sunday,1,2,0.5,True,28,0.4745762711864407
Coop Matboden,Tuesday,1,2,0.5,True,31,0.5254237288135594
Coop Medborgarplatsen,Sunday,1,2,0.5,True,57,0.5533980582524272
Coop Medborgarplatsen,Thursday,1,2,0.5,True,46,0.44660194174757284
Coop Minneberg,Sunday,1,2,0.5,True,34,0.1504424778761062
Coop Minneberg,Tuesday,1,2,0.5,True,79,0.3495575221238938
Coop Minneberg,Thursday,1,2,0.5,True,113,0.5
Coop Märsta,Sunday,1,2,0.5,True,167,0.4282051282051282
Coop Märsta,Tuesday,1,2,0.5,True,83,0.2128205128205128
Coop Märsta,Thursday,1,2,0.5,True,140,0.358974358974359
Coop Odengatan,Sunday,1,2,0.5,True,63,0.3559322033898305
Coop Odengatan,Tuesday,1,2,0.5,True,57,0.3220338983050847
Coop Odengatan,Thursday,1,2,0.5,True,57,0.3220338983050847
Coop Odenplan,Sunday,1,2,0.5,True,67,0.4036144578313253
Coop Odenplan,Tuesday,1,2,0.5,True,43,0.25903614457831325
Coop Odenplan,Thursday,1,2,0.5,True,56,0.3373493975903614
Coop Pilgatan,Sunday,1,2,0.5,True,95,0.4148471615720524
Coop Pilgatan,Tuesday,1,2,0.5,True,38,0.16593886462882096
Coop Pilgatan,Thursday,1,2,0.5,True,96,0.4192139737991266
Coop Rotebro,Sunday,1,2,0.5,True,65,0.4961832061068702
Coop Rotebro,Thursday,1,2,0.5,True,66,0.5038167938931297
Coop Rådhuset,Sunday,1,2,0.5,True,98,0.4260869565217391
Coop Rådhuset,Tuesday,1,2,0.5,True,63,0.27391304347826084
Coop Rådhuset,Thursday,1,2,0.5,True,69,0.3
Coop STORGATAN,Sunday,1,2,0.5,True,122,0.47104247104247104
Coop STORGATAN,Tuesday,1,2,0.5,True,67,0.25868725868725867
Coop STORGATAN,Thursday,1,2,0.5,True,70,0.2702702702702703
Coop Sockenplan,Sunday,1,2,0.5,True,44,0.2857142857142857
Coop Sockenplan,Tuesday,1,2,0.5,True,60,0.38961038961038963
Coop Sockenplan,Thursday,1,2,0.5,True,50,0.3246753246753247
Coop Spånga-torg,Sunday,1,2,0.5,True,44,0.39285714285714285
Coop Spånga-torg,Tuesday,1,2,0.5,True,30,0.26785714285714285
Coop Spånga-torg,Thursday,1,2,0.5,True,38,0.3392857142857143
Coop Stjärnan,Sunday,1,2,0.5,True,65,0.4482758620689655
Coop Stjärnan,Tuesday,1,2,0.5,True,24,0.16551724137931034
Coop Stjärnan,Thursday,1,2,0.5,True,56,0.38620689655172413
Coop Storsjövägen,Sunday,1,2,0.5,True,28,0.3111111111111111
Coop Storsjövägen,Tuesday,1,2,0.5,True,27,0.3
Coop Storsjövägen,Thursday,1,2,0.5,True,35,0.3888888888888889
Coop Storvreta,Sunday,1,2,0.5,True,28,0.18666666666666668
Coop Storvreta,Tuesday,1,2,0.5,True,56,0.37333333333333335
Coop Storvreta,Thursday,1,2,0.5,True,66,0.44
Coop Stuvsta,Sunday,1,2,0.5,True,63,0.4405594405594406
Coop Stuvsta,Tuesday,1,2,0.5,True,46,0.32167832167832167
Coop Stuvsta,Thursday,1,2,0.5,True,34,0.23776223776223776
Coop Sundby Park,Sunday,1,2,0.5,True,100,0.35335689045936397
Coop Sundby Park,Tuesday,1,2,0.5,True,90,0.31802120141342755
Coop Sundby Park,Thursday,1,2,0.5,True,93,0.3286219081272085
Coop Sveavägen,Sunday,1,2,0.5,True,164,0.44086021505376344
Coop Sveavägen,Tuesday,1,2,0.5,True,93,0.25
Coop Sveavägen,Thursday,1,2,0.5,True,115,0.30913978494623656
Coop Tibble,Sunday,1,2,0.5,True,30,0.37037037037037035
Coop Tibble,Tuesday,1,2,0.5,True,25,0.30864197530864196
Coop Tibble,Thursday,1,2,0.5,True,26,0.32098765432098764
Coop Tierp,Sunday,1,2,0.5,True,34,0.2857142857142857
Coop Tierp,Tuesday,1,2,0.5,True,41,0.3445378151260504
Coop Tierp,Thursday,1,2,0.5,True,44,0.3697478991596639
Coop Tomtebogatan,Sunday,1,2,0.5,True,43,0.36752136752136755
Coop Tomtebogatan,Tuesday,1,2,0.5,True,37,0.3162393162393162
Coop Tomtebogatan,Thursday,1,2,0.5,True,37,0.3162393162393162
Coop Tranebergsvägen,Sunday,1,2,0.5,True,25,0.16025641025641027
Coop Tranebergsvägen,Tuesday,1,2,0.5,True,52,0.3333333333333333
Coop Tranebergsvägen,Thursday,1,2,0.5,True,79,0.5064102564102564
Coop Triangeln,Sunday,1,2,0.5,True,39,0.38235294117647056
Coop Triangeln,Tuesday,1,2,0.5,True,30,0.29411764705882354
Coop Triangeln,Thursday,1,2,0.5,True,33,0.3235294117647059
Coop Tungelsta,Monday,1,2,0.5,True,48,0.2696629213483146
Coop Tungelsta,Wednesday,1,2,0.5,True,58,0.3258426966292135
Coop Tungelsta,Friday,2,2,1.0,True,72,0.4044943820224719
Coop Tyresö centrum,Monday,1,2,0.5,True,123,0.5082644628099173
Coop Tyresö centrum,Wednesday,1,2,0.5,True,65,0.26859504132231404
Coop Tyresö centrum,Friday,2,2,1.0,True,54,0.2231404958677686
Coop Tyresö strand,Monday,1,2,0.5,True,63,0.5887850467289719
Coop Tyresö strand,Wednesday,1,2,0.5,True,44,0.411214953271028
Coop Veckovägen,Sunday,1,2,0.5,True,26,0.25742574257425743
Coop Veckovägen,Tuesday,1,2,0.5,True,49,0.48514851485148514
Coop Veckovägen,Thursday,1,2,0.5,True,26,0.25742574257425743
Coop Västerhaninge,Monday,1,2,0.5,True,68,0.3192488262910798
Coop Västerhaninge,Wednesday,1,2,0.5,True,73,0.3427230046948357
Coop Västerhaninge,Friday,2,2,1.0,True,72,0.3380281690140845
Coop Västertorg,Sunday,1,2,0.5,True,28,0.3146067415730337
Coop Västertorg,Tuesday,1,2,0.5,True,28,0.3146067415730337
Coop Västertorg,Thursday,1,2,0.5,True,33,0.3707865168539326
Coop Västertorp,Sunday,1,2,0.5,True,53,0.33544303797468356
Coop Västertorp,Tuesday,1,2,0.5,True,45,0.2848101265822785
Coop Västertorp,Thursday,1,2,0.5,True,60,0.379746835443038
Coop Västerås City(PUNKT),Sunday,1,2,0.5,True,122,0.48031496062992124
Coop Västerås City(PUNKT),Tuesday,1,2,0.5,True,35,0.1377952755905512
Coop Västerås City(PUNKT),Thursday,1,2,0.5,True,97,0.38188976377952755
Coop Zinkensdamm,Sunday,1,2,0.5,True,92,0.35797665369649806
Coop Zinkensdamm,Tuesday,1,2,0.5,True,80,0.311284046692607
Coop Zinkensdamm,Thursday,1,2,0.5,True,85,0.33073929961089493
Coop björnboda,Sunday,1,2,0.5,True,45,0.19823788546255505
Coop björnboda,Tuesday,1,2,0.5,True,82,0.36123348017621143
Coop björnboda,Thursday,1,2,0.5,True,100,0.44052863436123346
Coop farsta strand,Sunday,1,2,0.5,True,115,0.37216828478964403
Coop farsta strand,Tuesday,1,2,0.5,True,79,0.255663430420712
